Reference, Value, Footprint, Datasheet
K1,JS1-12V,Custom_Library:RELAY_JS1-XXV,
R2,1k,Custom_Library:R_0.25W,
J2,12V OUT,Custom_Library:TB_01x02_3.5mm,
D4,RED,Custom_Library:LED_5mm,
D5,GREEN,Custom_Library:LED_5mm,
F1,10A,Custom_Library:FUSE_Clips_20mm,
D1,15V,Custom_Library:DIODE_Rectifier_1A,
D3,1N4001,Custom_Library:DIODE_Rectifier_1A,
D2,1N4001,Custom_Library:DIODE_Rectifier_1A,
S1,ON,Custom_Library:Pushbutton_12mm_round,
H1,M3,Custom_Library:M3_Isolated,
H2,M3,Custom_Library:M3_Isolated,
H3,M3,Custom_Library:M3_Isolated,
H4,M3,Custom_Library:M3_Isolated,
Q1,2N3904,Custom_Library:TO-92,
S2,OFF,Custom_Library:Pushbutton_12mm_round,
R1,1k,Custom_Library:R_0.25W,
J1,12V IN,Custom_Library:TB_01x02_3.5mm,
